lat;long;nombre_estacion;id_estacion;capacidad;dirección_completa;direccion_nombre;direccion_altura;direccion_interseccion;barrio
-346.118.145;-58.361.284.999.999.900;151 - AIME PAINÉ;151;24.0;Villaflor, Azucena y Paine, Aime;Villaflor, Azucena;;Paine, Aime;Puerto Madero
-346.181.645;-583.596.311;152 - JULIETA LANTERI;152;20.0;Vera Peñaloza,  Rosario 599;Vera Peñaloza,  Rosario;599.0;Lanteri Julieta;Puerto Madero
-346.307.765;-583.620.701;153 - JUAN MANUEL DE BLANES;153;16.0;Blanes, Juan Manuel 383;Blanes, Juan Manuel;383.0;;Boca
-346.005.484;-58.412.284.899.999.900;154 - GALLO;154;20.0;Gallo 789;Gallo;789.0;;Almagro
-34.640.961.700.000.000;-58.412.560.600.000.000;155 - PARQUE JOSE EVARISTO URIBURU;155;20.0;Almafuerte Av. 300;Almafuerte Av.;300.0;Los Patos;Nueva Pompeya
-345.775.895;-584.074.696;156 - Plaza Alemania;156;20.0;Cavia 2939;Cavia;2939.0;;Palermo
-34.592.735;-5.844.506.970.000.000;158 - VILLARROEL;158;20.0;Villarroel 1321;Villarroel;1321.0;Humboldt;Chacarita
-346.020.779;-58.419.676.100.000.000;161 - Humahuaca;161;20.0;Humahuaca 3912;Humahuaca;3912.0;;Almagro
-34.608.985;-58.401.924;162 - LARREA Y BARTOLOMÉ MITRE;162;20.0;Larrea 80;Larrea;80.0;;Balvanera
-346.095.663;-58.406.430.799.999.900;163 - ONCE II;163;30.0;Mitre, Bartolome y Pueyrredon Av.;Mitre, Bartolome;;Pueyrredon Av.;Balvanera
-346.181.442;-58.366.902.100.000.000;164 - FACULTAD DE INGENERIA;164;20.0;Estados Unidos 21;Estados Unidos;21.0;;San Telmo
-34.597.048;-58.407.614;165 - PLAZA MONSEÑOR MIGUEL DE ANDREA;165;12.0;Anchorena, Tomas Manuel De, Dr. y Cabrera, Jose A.;Anchorena, Tomas Manuel De, Dr.;;Cabrera, Jose A.;Recoleta
-3.458.918.970.000.000;-58.393.250.699.999.900;166 - Cementerio de Recoleta;166;20.0;Lopez, Vicente 2000;Lopez, Vicente;2000.0;;Recoleta
-346.070.594;-584.485.709;275 - PLAZA 24 DE SEPTIEMBRE;167;16.0;San Martin Av. 1355;San Martin Av.;1355.0;;Villa Crespo
-346.186.217;-58.381.227.100.000.000;168 - Estados Unidos;168;16.0;Estados Unidos y Lima;Estados Unidos;;Lima;Constitucion
-34.611.875;-58.411.887;169 - FACULTAD DE PSICOLOGIA;169;12.0;Yrigoyen, Hipolito y 24 De Noviembre;Yrigoyen, Hipolito;;24 De Noviembre;Balvanera
-34.599.664.399.999.900;-5.840.610.229.999.990;170 - SAN LUIS Y ECUADOR;170;20.0;San Luis 2862;San Luis;2862.0;Ecuador;Balvanera
-346.032.813;-58.399.755.299.999.900;171 - Pasteur;171;20.0;Pasteur 519;Pasteur;519.0;;Balvanera
-34.625.426.000.000.000;-58.371.081.999.999.900;172 - BRASIL;172;16.0;Brasil y Defensa;Brasil;;Defensa;San Telmo
-346.222.964;-5.837.516.070.000.000;173 - PLAZA CECILIA GRIERSON;173;16.0;San Juan Av. 632;San Juan Av.;632.0;;San Telmo
-34.597.225;-58.391.768.000.000.000;174 - MINISTERIO DE EDUCACION;174;16.0;Alvear, Marcelo T. De y Rodriguez Peña;Alvear, Marcelo T. De;;Rodriguez Peña;Recoleta
-346.267.408;-5.838.093.489.999.990;147 - Constitución;175;36.0;Garay, Juan De Av. 1050;Garay, Juan De Av.;1050.0;;Constitucion
-34.634.187.299.999.900;-583.611.029;176 - PINZÓN Y MARTÍN RODRIGUEZ;176;20.0;Pinzon 469;Pinzon;469.0;;Boca
-34.568.015.100.000.000;-5.841.208;177 -PLANETARIO;177;12.0;Sarmiento Av. 3866;Sarmiento Av.;3866.0;;Palermo
-34.638.989;-583.605.313;179 - LA BOCA;179;20.0;Don Pedro De Mendoza Av. 1819;Don Pedro De Mendoza Av.;1819.0;Palos;Boca
-34.619.775;-58.420.492;180 - CASTRO Y MEXICO;180;20.0;Castro 680;Castro;680.0;Mexico;Almagro
-345.927.221;-584.120.394;181 - BILLINGHURST Y MANSILLA;181;20.0;Billinghurst 1533;Billinghurst;1533.0;Mansilla, Lucio Norberto, General;Recoleta
-345.780.479;-584.352.466;182 - RAVIGNANI Y GUATEMALA;182;20.0;Ravignani, Emilio, Dr. 2185;Ravignani, Emilio, Dr.;2185.0;Guatemala;Palermo
-34.615.699.400.000.000;-583.899.728;183 - VIRREY CEVALLOS;183;20.0;Mexico 1652;Mexico;1652.0;;Monserrat
-346.306.129;-583.913.419;184 - Pedro Echague;184;20.0;Echague, Pedro 1878;Echague, Pedro;1878.0;Combate De Los Pozos;Parque Patricios
-3.463.133;-58.421.769.999.999.900;185 - AV. PAVÓN Y 33 ORIENTALES;185;12.0;Treinta y Tres Orientales 1400;Treinta Y Tres Orientales;1400.0;;Boedo
-346.136.356;-5.840.644.150.000.000;186 - MANZANA 66;186;20.0;Moreno 2875;Moreno;2875.0;;Balvanera
-345.528.626;-5.845.085.400.000.000;261 - QUINTEROS LIDORO;187;16.0;Quinteros, Lidoro J. Av. 1483;Quinteros, Lidoro J. Av.;1483.0;;Belgrano
-34.623.923;-583.904.814;373 - Jorgelina De Simone;188;20.0;Cochabamba 1755;Cochabamba;1755.0;;Constitucion
-34.588.688.899.999.900;-583.852.113;189 - POSADAS;189;20.0;Posadas 1350;Posadas;1350.0;;Retiro
-345.850.763;-5.841.111.360.000.000;190 - JUNCAL;190;20.0;Juncal y Salguero, Jeronimo;Juncal;;Salguero, Jeronimo;Palermo
-346.079.305;-583.808.358;191 - Rivadavia y 9 de Julio;191;16.0;Pellegrini, Carlos y Rivadavia Av.;Pellegrini, Carlos;;Rivadavia Av.;San Nicolas
-345.972.773;-583.855.748;192 - Talcahuano;192;20.0;Talcahuano 990;Talcahuano;990.0;;Retiro
-345.908.626;-584.061.652;193 - ARENALES Y AGUERO;193;20.0;Arenales y Aguero;Arenales;;Aguero;Recoleta
-346.060.758;-584.224.635;194 - PERÓN Y ACUÑA DE FIGUEROA;194;16.0;Peron, Juan Domingo, Tte. General 3997;Peron, Juan Domingo, Tte. General;3997.0;;Almagro
-346.260.785;-58.407.389;357 - PLAZA MARTIN FIERRO;195;20.0;La Rioja y Cochabamba;La Rioja;;Cochabamba;San Cristobal
-346.275.351;-583.657.211;196 - HOSPITAL ARGERICH;196;20.0;Pi y Margall 750;Pi Y Margall;750.0;Necochea;Boca
-34.622.260.100.000.000;-584.160.137;199 - ESTADOS UNIDOS Y BOEDO;199;20.0;Estados Unidos 3568;Estados Unidos;3568.0;Boedo Av.;Boedo
-345.883.282;-584.038.684;200 - AUSTRIA Y FRENCH;200;20.0;Austria 2080;Austria;2080.0;;Recoleta
-346.034.449;-5.837.816.700.000.000;175 - Esmeralda y Corrientes;201;20.0;Esmeralda y Corrientes Av.;Esmeralda;;Corrientes Av.;San Nicolas
-34.583.811;-58.390.967;001 - FACULTAD DE DERECHO;202;30.0;Figueroa Alcorta, Pres. Av. 2120;Figueroa Alcorta, Pres. Av.;2120.0;;Recoleta
-34.628.511;-5.835.600.400.000.000;108 - Usina del Arte;203;24.0;Caffarena, Agustin R. y Don Pedro De Mendoza Av.;Caffarena, Agustin R.;;Don Pedro De Mendoza Av.;Boca
